year,expenditure_type,school,funding_category,amount
2014,Instructional,Canaan_Community_Academynbsp_9725,Student Academic Achievement,501371
2015,Instructional,Canaan_Community_Academynbsp_9725,Student Academic Achievement,480975
2016,Instructional,Canaan_Community_Academynbsp_9725,Student Academic Achievement,489339
2006,Instructional,Canaan_Community_Academynbsp_9725,Student Instructional Support,0
2009,Instructional,Canaan_Community_Academynbsp_9725,Student Instructional Support,0
2013,Instructional,Canaan_Community_Academynbsp_9725,Student Instructional Support,164437
2014,Instructional,Canaan_Community_Academynbsp_9725,Student Instructional Support,153340
2015,Instructional,Canaan_Community_Academynbsp_9725,Student Instructional Support,106332
2016,Instructional,Canaan_Community_Academynbsp_9725,Student Instructional Support,55857
2006,Non-Instructional,Canaan_Community_Academynbsp_9725,Overhead and Operational,0
2009,Non-Instructional,Canaan_Community_Academynbsp_9725,Overhead and Operational,0
2013,Non-Instructional,Canaan_Community_Academynbsp_9725,Overhead and Operational,259483
2014,Non-Instructional,Canaan_Community_Academynbsp_9725,Overhead and Operational,357985
2015,Non-Instructional,Canaan_Community_Academynbsp_9725,Overhead and Operational,304869
2016,Non-Instructional,Canaan_Community_Academynbsp_9725,Overhead and Operational,310110
2006,Non-Instructional,Canaan_Community_Academynbsp_9725,Non Operational,0
2009,Non-Instructional,Canaan_Community_Academynbsp_9725,Non Operational,0
2013,Non-Instructional,Canaan_Community_Academynbsp_9725,Non Operational,61338
2014,Non-Instructional,Canaan_Community_Academynbsp_9725,Non Operational,190794
2015,Non-Instructional,Canaan_Community_Academynbsp_9725,Non Operational,74578
2016,Non-Instructional,Canaan_Community_Academynbsp_9725,Non Operational,34242
2006,Non-Instructional,Canaan_Community_Academynbsp_9725,Not Categorized,0
2009,Non-Instructional,Canaan_Community_Academynbsp_9725,Not Categorized,0
2013,Non-Instructional,Canaan_Community_Academynbsp_9725,Not Categorized,0
2014,Non-Instructional,Canaan_Community_Academynbsp_9725,Not Categorized,0
2015,Non-Instructional,Canaan_Community_Academynbsp_9725,Not Categorized,0
2016,Non-Instructional,Canaan_Community_Academynbsp_9725,Not Categorized,0
2006,Instructional,Cannelton_City_Schoolsnbsp_6340,Student Academic Achievement,2074120
2009,Instructional,Cannelton_City_Schoolsnbsp_6340,Student Academic Achievement,1532841
2013,Instructional,Cannelton_City_Schoolsnbsp_6340,Student Academic Achievement,1441617
2014,Instructional,Cannelton_City_Schoolsnbsp_6340,Student Academic Achievement,1477566
2015,Instructional,Cannelton_City_Schoolsnbsp_6340,Student Academic Achievement,1330277
2016,Instructional,Cannelton_City_Schoolsnbsp_6340,Student Academic Achievement,1307494
2006,Instructional,Cannelton_City_Schoolsnbsp_6340,Student Instructional Support,223073
2009,Instructional,Cannelton_City_Schoolsnbsp_6340,Student Instructional Support,204652
2013,Instructional,Cannelton_City_Schoolsnbsp_6340,Student Instructional Support,183327
2014,Instructional,Cannelton_City_Schoolsnbsp_6340,Student Instructional Support,187500
2015,Instructional,Cannelton_City_Schoolsnbsp_6340,Student Instructional Support,233981
2016,Instructional,Cannelton_City_Schoolsnbsp_6340,Student Instructional Support,220878
2006,Non-Instructional,Cannelton_City_Schoolsnbsp_6340,Overhead and Operational,711559
2009,Non-Instructional,Cannelton_City_Schoolsnbsp_6340,Overhead and Operational,228
2013,Non-Instructional,Cannelton_City_Schoolsnbsp_6340,Overhead and Operational,587412
2014,Non-Instructional,Cannelton_City_Schoolsnbsp_6340,Overhead and Operational,720827
2015,Non-Instructional,Cannelton_City_Schoolsnbsp_6340,Overhead and Operational,654889
2016,Non-Instructional,Cannelton_City_Schoolsnbsp_6340,Overhead and Operational,603538
2006,Non-Instructional,Cannelton_City_Schoolsnbsp_6340,Non Operational,118550
2009,Non-Instructional,Cannelton_City_Schoolsnbsp_6340,Non Operational,38
2013,Non-Instructional,Cannelton_City_Schoolsnbsp_6340,Non Operational,318138
2014,Non-Instructional,Cannelton_City_Schoolsnbsp_6340,Non Operational,453916
2015,Non-Instructional,Cannelton_City_Schoolsnbsp_6340,Non Operational,318969
2016,Non-Instructional,Cannelton_City_Schoolsnbsp_6340,Non Operational,311051
2006,Non-Instructional,Cannelton_City_Schoolsnbsp_6340,Not Categorized,0
2009,Non-Instructional,Cannelton_City_Schoolsnbsp_6340,Not Categorized,00
2013,Non-Instructional,Cannelton_City_Schoolsnbsp_6340,Not Categorized,0
2014,Non-Instructional,Cannelton_City_Schoolsnbsp_6340,Not Categorized,0
2015,Non-Instructional,Cannelton_City_Schoolsnbsp_6340,Not Categorized,0
2016,Non-Instructional,Cannelton_City_Schoolsnbsp_6340,Not Categorized,0
2006,Instructional,Career_Academy_at_South_Bendnbsp_9880,Student Academic Achievement,0
2009,Instructional,Career_Academy_at_South_Bendnbsp_9880,Student Academic Achievement,0
2013,Instructional,Career_Academy_at_South_Bendnbsp_9880,Student Academic Achievement,2032900
2014,Instructional,Career_Academy_at_South_Bendnbsp_9880,Student Academic Achievement,2056071
2015,Instructional,Career_Academy_at_South_Bendnbsp_9880,Student Academic Achievement,2736532
2016,Instructional,Career_Academy_at_South_Bendnbsp_9880,Student Academic Achievement,2140843
2006,Instructional,Career_Academy_at_South_Bendnbsp_9880,Student Instructional Support,0
2009,Instructional,Career_Academy_at_South_Bendnbsp_9880,Student Instructional Support,0
2013,Instructional,Career_Academy_at_South_Bendnbsp_9880,Student Instructional Support,577579
2014,Instructional,Career_Academy_at_South_Bendnbsp_9880,Student Instructional Support,722378
2015,Instructional,Career_Academy_at_South_Bendnbsp_9880,Student Instructional Support,757624
2016,Instructional,Career_Academy_at_South_Bendnbsp_9880,Student Instructional Support,679010
2006,Non-Instructional,Career_Academy_at_South_Bendnbsp_9880,Overhead and Operational,0
2009,Non-Instructional,Career_Academy_at_South_Bendnbsp_9880,Overhead and Operational,0
2013,Non-Instructional,Career_Academy_at_South_Bendnbsp_9880,Overhead and Operational,1149248
2014,Non-Instructional,Career_Academy_at_South_Bendnbsp_9880,Overhead and Operational,1188630
2015,Non-Instructional,Career_Academy_at_South_Bendnbsp_9880,Overhead and Operational,1382548
2016,Non-Instructional,Career_Academy_at_South_Bendnbsp_9880,Overhead and Operational,1053942
2006,Non-Instructional,Career_Academy_at_South_Bendnbsp_9880,Non Operational,0
2009,Non-Instructional,Career_Academy_at_South_Bendnbsp_9880,Non Operational,0
2013,Non-Instructional,Career_Academy_at_South_Bendnbsp_9880,Non Operational,1280809
2014,Non-Instructional,Career_Academy_at_South_Bendnbsp_9880,Non Operational,321373
2015,Non-Instructional,Career_Academy_at_South_Bendnbsp_9880,Non Operational,998395
2016,Non-Instructional,Career_Academy_at_South_Bendnbsp_9880,Non Operational,55876
2006,Non-Instructional,Career_Academy_at_South_Bendnbsp_9880,Not Categorized,0
2009,Non-Instructional,Career_Academy_at_South_Bendnbsp_9880,Not Categorized,0
2013,Non-Instructional,Career_Academy_at_South_Bendnbsp_9880,Not Categorized,0
2014,Non-Instructional,Career_Academy_at_South_Bendnbsp_9880,Not Categorized,0
2015,Non-Instructional,Career_Academy_at_South_Bendnbsp_9880,Not Categorized,0
2016,Non-Instructional,Career_Academy_at_South_Bendnbsp_9880,Not Categorized,0
2006,Instructional,Carmel_Clay_Schoolsnbsp_3060,Student Academic Achievement,76519778
2009,Instructional,Carmel_Clay_Schoolsnbsp_3060,Student Academic Achievement,84204233
2013,Instructional,Carmel_Clay_Schoolsnbsp_3060,Student Academic Achievement,79158800
2014,Instructional,Carmel_Clay_Schoolsnbsp_3060,Student Academic Achievement,81110824
2015,Instructional,Carmel_Clay_Schoolsnbsp_3060,Student Academic Achievement,83062490
2016,Instructional,Carmel_Clay_Schoolsnbsp_3060,Student Academic Achievement,85414103
2006,Instructional,Carmel_Clay_Schoolsnbsp_3060,Student Instructional Support,10323045
2009,Instructional,Carmel_Clay_Schoolsnbsp_3060,Student Instructional Support,12899172
2013,Instructional,Carmel_Clay_Schoolsnbsp_3060,Student Instructional Support,13095687
2014,Instructional,Carmel_Clay_Schoolsnbsp_3060,Student Instructional Support,13684522
2015,Instructional,Carmel_Clay_Schoolsnbsp_3060,Student Instructional Support,13751304
2016,Instructional,Carmel_Clay_Schoolsnbsp_3060,Student Instructional Support,14401379
2006,Non-Instructional,Carmel_Clay_Schoolsnbsp_3060,Overhead and Operational,29160602
2009,Non-Instructional,Carmel_Clay_Schoolsnbsp_3060,Overhead and Operational,181
2013,Non-Instructional,Carmel_Clay_Schoolsnbsp_3060,Overhead and Operational,37481720
2014,Non-Instructional,Carmel_Clay_Schoolsnbsp_3060,Overhead and Operational,38347988
2015,Non-Instructional,Carmel_Clay_Schoolsnbsp_3060,Overhead and Operational,38340745
2016,Non-Instructional,Carmel_Clay_Schoolsnbsp_3060,Overhead and Operational,39596746
2006,Non-Instructional,Carmel_Clay_Schoolsnbsp_3060,Non Operational,44882891
2009,Non-Instructional,Carmel_Clay_Schoolsnbsp_3060,Non Operational,279
2013,Non-Instructional,Carmel_Clay_Schoolsnbsp_3060,Non Operational,40283982
2014,Non-Instructional,Carmel_Clay_Schoolsnbsp_3060,Non Operational,30386974
2015,Non-Instructional,Carmel_Clay_Schoolsnbsp_3060,Non Operational,31056543
2016,Non-Instructional,Carmel_Clay_Schoolsnbsp_3060,Non Operational,37563696
2006,Non-Instructional,Carmel_Clay_Schoolsnbsp_3060,Not Categorized,0
2009,Non-Instructional,Carmel_Clay_Schoolsnbsp_3060,Not Categorized,00
2013,Non-Instructional,Carmel_Clay_Schoolsnbsp_3060,Not Categorized,0
2014,Non-Instructional,Carmel_Clay_Schoolsnbsp_3060,Not Categorized,0
2015,Non-Instructional,Carmel_Clay_Schoolsnbsp_3060,Not Categorized,0
2016,Non-Instructional,Carmel_Clay_Schoolsnbsp_3060,Not Categorized,0
2006,Instructional,Carpe_Diem__Meridian_Campusnbsp_9755,Student Academic Achievement,0
2009,Instructional,Carpe_Diem__Meridian_Campusnbsp_9755,Student Academic Achievement,0
2013,Instructional,Carpe_Diem__Meridian_Campusnbsp_9755,Student Academic Achievement,840143
2014,Instructional,Carpe_Diem__Meridian_Campusnbsp_9755,Student Academic Achievement,964734
2015,Instructional,Carpe_Diem__Meridian_Campusnbsp_9755,Student Academic Achievement,1038499
2016,Instructional,Carpe_Diem__Meridian_Campusnbsp_9755,Student Academic Achievement,981769
2006,Instructional,Carpe_Diem__Meridian_Campusnbsp_9755,Student Instructional Support,0
2009,Instructional,Carpe_Diem__Meridian_Campusnbsp_9755,Student Instructional Support,0
2013,Instructional,Carpe_Diem__Meridian_Campusnbsp_9755,Student Instructional Support,363770
2014,Instructional,Carpe_Diem__Meridian_Campusnbsp_9755,Student Instructional Support,423096
2015,Instructional,Carpe_Diem__Meridian_Campusnbsp_9755,Student Instructional Support,450948
2016,Instructional,Carpe_Diem__Meridian_Campusnbsp_9755,Student Instructional Support,566668
2006,Non-Instructional,Carpe_Diem__Meridian_Campusnbsp_9755,Overhead and Operational,0
2009,Non-Instructional,Carpe_Diem__Meridian_Campusnbsp_9755,Overhead and Operational,0
2013,Non-Instructional,Carpe_Diem__Meridian_Campusnbsp_9755,Overhead and Operational,152645
2014,Non-Instructional,Carpe_Diem__Meridian_Campusnbsp_9755,Overhead and Operational,227931
2015,Non-Instructional,Carpe_Diem__Meridian_Campusnbsp_9755,Overhead and Operational,160572
2016,Non-Instructional,Carpe_Diem__Meridian_Campusnbsp_9755,Overhead and Operational,288734
2006,Non-Instructional,Carpe_Diem__Meridian_Campusnbsp_9755,Non Operational,0
2009,Non-Instructional,Carpe_Diem__Meridian_Campusnbsp_9755,Non Operational,0
2013,Non-Instructional,Carpe_Diem__Meridian_Campusnbsp_9755,Non Operational,171759
2014,Non-Instructional,Carpe_Diem__Meridian_Campusnbsp_9755,Non Operational,224414
2015,Non-Instructional,Carpe_Diem__Meridian_Campusnbsp_9755,Non Operational,283179
2016,Non-Instructional,Carpe_Diem__Meridian_Campusnbsp_9755,Non Operational,322632
2006,Non-Instructional,Carpe_Diem__Meridian_Campusnbsp_9755,Not Categorized,0
2009,Non-Instructional,Carpe_Diem__Meridian_Campusnbsp_9755,Not Categorized,0
2013,Non-Instructional,Carpe_Diem__Meridian_Campusnbsp_9755,Not Categorized,0
2014,Non-Instructional,Carpe_Diem__Meridian_Campusnbsp_9755,Not Categorized,0
2015,Non-Instructional,Carpe_Diem__Meridian_Campusnbsp_9755,Not Categorized,0
2016,Non-Instructional,Carpe_Diem__Meridian_Campusnbsp_9755,Not Categorized,0
2006,Instructional,Carpe_Diem__Northwest_9710,Student Academic Achievement,0
2009,Instructional,Carpe_Diem__Northwest_9710,Student Academic Achievement,0
2013,Instructional,Carpe_Diem__Northwest_9710,Student Academic Achievement,0
2014,Instructional,Carpe_Diem__Northwest_9710,Student Academic Achievement,0
2015,Instructional,Carpe_Diem__Northwest_9710,Student Academic Achievement,63568
2016,Instructional,Carpe_Diem__Northwest_9710,Student Academic Achievement,778173
2006,Instructional,Carpe_Diem__Northwest_9710,Student Instructional Support,0
2009,Instructional,Carpe_Diem__Northwest_9710,Student Instructional Support,0
2013,Instructional,Carpe_Diem__Northwest_9710,Student Instructional Support,0
2014,Instructional,Carpe_Diem__Northwest_9710,Student Instructional Support,0
2015,Instructional,Carpe_Diem__Northwest_9710,Student Instructional Support,173320
2016,Instructional,Carpe_Diem__Northwest_9710,Student Instructional Support,563597
2006,Non-Instructional,Carpe_Diem__Northwest_9710,Overhead and Operational,0
2009,Non-Instructional,Carpe_Diem__Northwest_9710,Overhead and Operational,0
2013,Non-Instructional,Carpe_Diem__Northwest_9710,Overhead and Operational,0
2014,Non-Instructional,Carpe_Diem__Northwest_9710,Overhead and Operational,0
2015,Non-Instructional,Carpe_Diem__Northwest_9710,Overhead and Operational,4893
2016,Non-Instructional,Carpe_Diem__Northwest_9710,Overhead and Operational,284366
2006,Non-Instructional,Carpe_Diem__Northwest_9710,Non Operational,0
2009,Non-Instructional,Carpe_Diem__Northwest_9710,Non Operational,0
2013,Non-Instructional,Carpe_Diem__Northwest_9710,Non Operational,0
2014,Non-Instructional,Carpe_Diem__Northwest_9710,Non Operational,0
2015,Non-Instructional,Carpe_Diem__Northwest_9710,Non Operational,1608
2016,Non-Instructional,Carpe_Diem__Northwest_9710,Non Operational,472454
2006,Non-Instructional,Carpe_Diem__Northwest_9710,Not Categorized,0
2009,Non-Instructional,Carpe_Diem__Northwest_9710,Not Categorized,0
2013,Non-Instructional,Carpe_Diem__Northwest_9710,Not Categorized,0
2014,Non-Instructional,Carpe_Diem__Northwest_9710,Not Categorized,0
2015,Non-Instructional,Carpe_Diem__Northwest_9710,Not Categorized,0
2016,Non-Instructional,Carpe_Diem__Northwest_9710,Not Categorized,0
2006,Instructional,Carpe_Diem__Shadeland_9630,Student Academic Achievement,0
2009,Instructional,Carpe_Diem__Shadeland_9630,Student Academic Achievement,0
2013,Instructional,Carpe_Diem__Shadeland_9630,Student Academic Achievement,0
2014,Instructional,Carpe_Diem__Shadeland_9630,Student Academic Achievement,0
2015,Instructional,Carpe_Diem__Shadeland_9630,Student Academic Achievement,47317
2016,Instructional,Carpe_Diem__Shadeland_9630,Student Academic Achievement,747464
2006,Instructional,Carpe_Diem__Shadeland_9630,Student Instructional Support,0
2009,Instructional,Carpe_Diem__Shadeland_9630,Student Instructional Support,0
2013,Instructional,Carpe_Diem__Shadeland_9630,Student Instructional Support,0
2014,Instructional,Carpe_Diem__Shadeland_9630,Student Instructional Support,0
2015,Instructional,Carpe_Diem__Shadeland_9630,Student Instructional Support,189226
2016,Instructional,Carpe_Diem__Shadeland_9630,Student Instructional Support,402843
2006,Non-Instructional,Carpe_Diem__Shadeland_9630,Overhead and Operational,0
2009,Non-Instructional,Carpe_Diem__Shadeland_9630,Overhead and Operational,0
2013,Non-Instructional,Carpe_Diem__Shadeland_9630,Overhead and Operational,0
2014,Non-Instructional,Carpe_Diem__Shadeland_9630,Overhead and Operational,0
2015,Non-Instructional,Carpe_Diem__Shadeland_9630,Overhead and Operational,17964
2016,Non-Instructional,Carpe_Diem__Shadeland_9630,Overhead and Operational,253376
2006,Non-Instructional,Carpe_Diem__Shadeland_9630,Non Operational,0
2009,Non-Instructional,Carpe_Diem__Shadeland_9630,Non Operational,0
2013,Non-Instructional,Carpe_Diem__Shadeland_9630,Non Operational,0
2014,Non-Instructional,Carpe_Diem__Shadeland_9630,Non Operational,0
2015,Non-Instructional,Carpe_Diem__Shadeland_9630,Non Operational,31981
2016,Non-Instructional,Carpe_Diem__Shadeland_9630,Non Operational,603843
2006,Non-Instructional,Carpe_Diem__Shadeland_9630,Not Categorized,0
2009,Non-Instructional,Carpe_Diem__Shadeland_9630,Not Categorized,0
2013,Non-Instructional,Carpe_Diem__Shadeland_9630,Not Categorized,0
2014,Non-Instructional,Carpe_Diem__Shadeland_9630,Not Categorized,0
2015,Non-Instructional,Carpe_Diem__Shadeland_9630,Not Categorized,0
2016,Non-Instructional,Carpe_Diem__Shadeland_9630,Not Categorized,0
2006,Instructional,onsolidated_Sch_Corpnbsp_750,Student Academic Achievement,4872294
2009,Instructional,onsolidated_Sch_Corpnbsp_750,Student Academic Achievement,4407650
2013,Instructional,onsolidated_Sch_Corpnbsp_750,Student Academic Achievement,4307509
2014,Instructional,onsolidated_Sch_Corpnbsp_750,Student Academic Achievement,4711819
